class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
FALSE,/data/pdfrate/contagio-ben/AN1108.pdf,0,0,0,0,0,0,0,18,FALSE,0,0,0,0,0,0,0,18,37,0,185,45,3,23,0,0,4,7,12,0,1,0,0,1,0,185,0,0,9,0,3,45,0,3,3,0,1,1267813356,-28800,3668.0,0,0,0,0,0,0,0,-120,0,11,638175,0,0,0,0,0,0,0,373.448648649,3531,6,1019.15555556,3474,34,0,2,1267813476,-28800,3668.0,0,0,32,1,21,0,11,0,0,32,2,19,0,13,TRUE,-1.0,-1.0,-1.0,0.498979980969,0.912596435046,0.0169646283529,0.640575721085,0.999933835303,0.0105863515463,0.376246653169,0.627453056147,0.133599756514,0.455555702588,0.915878204025,0.0211462372137,1,14,23,1,2,4,3,8.44493112255,408.481078873,8396.55462261,1679.31107379,75569,0,0,0,0,0,0,0,0,60,90,1,4,13,13,4
FALSE,/data/pdfrate/contagio-ben/fw4sp.pdf,0,0,11,1,0,3,8,6,FALSE,0,3,0,0,0,0,0,6,13,0,70,59,5,7,0,0,0,0,0,0,0,0,0,0,0,70,15,0,3,0,5,59,0,0,0,0,1,1243856070,-14400,2056.0,1,18,31,1,2,5,6,-26809361,0,0,0,0,7,8,1,0,0,1,1635.31428571,13727,31,1622.13559322,13677,34,0,2,1270665431,-14400,2100.0,0,0,32,1,23,0,9,0,0,32,4,19,0,13,TRUE,0.57693194925,0.900475778547,0.00785467128028,0.17451147332,0.991271626298,0.00982698961938,0.65214532872,0.999965397924,0.00446366782007,-1.0,-1.0,-1.0,0.341239907728,0.63080449827,0.0123961937716,1,18,31,1,2,5,6,0.0,1651.42854784,38533.3204889,1959.32200069,115600,0,48,62,1,0,8,6,0,3,17,1,5,5,4,7
FALSE,/data/pdfrate/contagio-ben/akb100.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,21,0,82,13,1,21,0,0,0,0,0,0,0,0,0,0,0,82,0,0,12,0,1,21,8,1,1,0,0,-1,-1,-1.0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2335.86585366,16937,39,12960.3076923,38068,5273,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.514114227179,0.985128714604,0.0491951798298,0.999979409781,0.999979409781,0.999979409781,-1.0,-1.0,-1.0,0.32322911251,0.585071061992,0.0489429496518,1,5,12,1,3,2,2,0.0,2369.10972721,16188.9153176,9250.80908329,194267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FALSE,/data/pdfrate/contagio-ben/AGF.pdf,0,9,12,1,0,1,2,20,FALSE,1,0,0,0,0,0,0,20,3,0,56,24,2,12,0,0,0,0,0,0,0,0,0,0,0,56,11,0,10,0,2,24,0,2,2,0,0,-1,-1,-1.0,1,16,29,1,2,5,6,-1111084085,17999,0,0,0,0,0,0,0,0,0,879.517857143,4005,12,1731.125,3950,60,0,1,1111084084,-18000,3214.0,0,17,32,1,15,0,0,0,14,32,1,18,0,0,TRUE,-1.0,-1.0,-1.0,0.208227943345,0.380589782639,0.0214038488163,0.503661913332,0.999930776686,0.00739304997923,-1.0,-1.0,-1.0,0.22582998754,0.379786792192,0.0208915962896,1,20,31,1,2,6,3,0.0,1289.82140554,7222.9992777,3009.58320793,72230,0,0,0,0,0,0,0,0,0,16,8,0,2,14,4
FALSE,/data/pdfrate/contagio-ben/kt0m3nd5pq.pdf,3,27,48,1,0,13,8,3,FALSE,0,0,0,0,0,0,0,3,2,0,17,5,1,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,1,8,3,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,627.294117647,3809,39,1617.6,3619,454,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.472146493677,0.533420922976,0.363606503531,0.999589423551,0.999589423551,0.999589423551,-1.0,-1.0,-1.0,0.517216839109,0.546805715224,0.480210215142,0,32,53,1,0,10,11,0.0,716.352899038,4059.33198022,1522.24980972,12178,1,15,20,1,0,3,2,3,14,28,1,0,9,5,3
FALSE,/data/pdfrate/contagio-ben/pressemitteilung_genesis.pdf,0,11,14,1,0,1,2,0,TRUE,0,0,0,0,0,0,0,0,8,0,40,9,1,7,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,0,1,9,0,1,1,0,0,-1,-1,-1.0,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50268.55,1915399,8,222764.666667,1915232,714,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.853166794718,0.998837102975,0.00287344897367,0.999998012142,0.999998012142,0.999998012142,-1.0,-1.0,-1.0,0.642308115365,0.962932905811,0.00284164324307,2,13,33,1,4,7,9,0.0,50305.3987424,670738.443087,223579.530713,2012216,0,0,0,0,0,0,0,1,42,301,1,183,70,6,3
FALSE,/data/pdfrate/contagio-ben/Yebio_China.pdf,0,6,6,1,0,0,0,10,FALSE,0,0,0,0,0,0,0,10,5,0,41,11,2,12,0,0,0,0,0,0,0,0,0,0,0,41,0,0,5,0,2,11,0,2,2,0,0,-1,-1,-1.0,3,14,26,1,4,5,3,-1147358105,-7201,0,0,0,0,0,0,0,0,0,1281.65853659,17016,12,4311.81818182,16952,192,0,1,1147358104,7200,3319.0,0,10,32,1,22,0,0,0,10,32,1,22,0,0,TRUE,-1.0,-1.0,-1.0,0.303003441122,0.901143142071,0.0178765997525,0.504903137639,0.999907662191,0.00989861308611,-1.0,-1.0,-1.0,0.20760494192,0.400469076068,0.0171932999686,1,20,31,1,2,6,3,0.0,1320.70728486,10829.797834,4922.63591612,54149,0,0,0,0,0,0,0,1,22,32,1,0,6,4,4
FALSE,/data/pdfrate/contagio-ben/p4893sp.pdf,0,0,18,1,0,6,12,0,TRUE,0,0,0,0,0,0,0,0,17,0,64,34,3,10,0,1,0,0,1,0,0,0,0,0,0,64,3,0,2,0,3,34,0,4,4,0,2,1291322867,-18000,3736.0,2,10,26,3,4,7,5,-489190,0,0,987363,0,0,0,0,0,0,0,7350.1875,364118,14,13545.1764706,363927,25,0,2,1291812057,-18000,3737.0,0,0,32,1,14,0,18,0,0,32,2,25,0,7,TRUE,-1.0,-1.0,-1.0,0.509772790977,0.876380051123,0.00415008931896,0.650461655601,0.999989541106,0.00274650568336,0.0645104609862,0.0645104609862,0.0645104609862,0.440959540813,0.876647798821,0.00527128280432,1,10,21,1,2,4,5,2.06534508076,7469.71863329,239030.880485,14060.6466453,478062,0,64,88,1,0,13,11,0,10,21,1,4,4,3,4
FALSE,/data/pdfrate/contagio-ben/227 SR FC (CW) TORQUE.pdf,0,4,4,1,0,0,0,2,FALSE,0,0,0,0,0,0,0,2,6,0,37,19,2,4,0,0,0,1,3,0,2,0,0,0,0,37,0,0,1,0,2,19,0,2,2,0,1,1244812627,-18000,2058.0,3,14,26,1,4,5,3,0,0,1,39228,0,0,0,0,0,0,0,2067.91891892,17530,13,3782.89473684,17394,19,0,1,1244812627,-18000,2058.0,0,0,32,1,18,0,14,0,0,32,1,21,0,11,TRUE,-1.0,-1.0,-1.0,0.647729604268,0.944807776153,0.0159267523275,0.505821856326,0.99993588264,0.0117078300121,0.670847118566,0.935177348619,0.153227667923,0.0177733323075,0.0177733323075,0.0177733323075,2,20,33,2,3,7,3,0.503039162884,2107.62156466,77981.9220181,4104.31557346,77982,0,0,0,0,0,0,0,1,4,38,1,4,5,25,7
FALSE,/data/pdfrate/contagio-ben/Turnierordnung2009.pdf,0,3,4,1,0,0,1,18,FALSE,0,0,0,0,0,18,0,0,4,0,59,18,2,13,0,0,0,0,0,0,0,0,0,0,0,59,0,0,9,0,2,18,0,2,2,0,1,1232623181,0,7133.0,0,24,35,1,4,4,3,1232623182,1,0,0,0,0,0,0,0,0,0,659.084745763,3449,9,1656.38888889,3392,170,0,0,-1,-1,-1.0,0,14,32,1,18,0,0,0,11,32,1,21,0,0,TRUE,-1.0,-1.0,-1.0,0.460706106322,0.928309404076,0.0340111264971,0.510361246751,0.999902825353,0.0208196681486,-1.0,-1.0,-1.0,0.448585164131,0.785146855185,0.0298083230085,1,19,37,2,2,8,8,0.0,697.677954277,4573.66615848,2286.83320629,41163,0,0,0,0,0,0,0,1,16,22,1,4,1,1,2
