class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,/data/pdfrate/contagio-mal/3c59f69e0d6aeab9ee87fbf01d8e0b89f9191494.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,3,0,17,14,2,0,0,0,1,0,2,0,1,0,0,0,0,17,3,0,1,0,2,14,0,0,0,0,2,1271778896,28800,2102.0,2,10,19,2,3,4,2,483,0,1,360004,0,0,0,0,0,0,0,15767.5294118,230954,69,19005.1428571,230794,26,0,1,1271778413,28800,2102.0,0,0,32,1,19,0,13,0,0,32,1,22,0,10,TRUE,-1.0,-1.0,-1.0,0.00767205921995,0.00804224601521,0.00743479184446,0.500831056933,0.999981366436,0.0016807474295,0.0165335609113,0.0231876064442,0.00987951537828,0.00792671792139,0.00792671792139,0.00792671792139,2,28,44,1,3,8,5,1.34163148029,15784.2931892,268332.731667,19166.6414881,268333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
TRUE,/data/pdfrate/contagio-mal/CVE-2009-4324_PDF_2010-07-12_ATT54496.pdf,0,0,0,0,0,0,0,1,FALSE,0,0,0,1,0,0,0,1,10,0,68,24,5,4,0,0,0,0,0,0,0,2,0,1,0,68,5,0,3,0,5,24,0,3,3,0,2,1268183489,28800,2446.0,1,6,21,3,2,12,1,-9590665,0,0,0,0,0,0,0,0,0,0,1439.89705882,55615,9,3801.75,55549,20,0,1,1277774154,28800,2464.0,0,0,32,2,21,0,11,0,0,32,2,15,0,17,TRUE,-1.0,-1.0,-1.0,0.667699744955,0.958939184549,0.028216063147,0.59619998813,0.999957608078,0.00582465005469,-1.0,-1.0,-1.0,0.641197600052,0.956022620329,0.0294708640322,2,10,19,2,3,4,2,0.0,1734.51468037,39315.6535614,4914.45812856,117947,0,0,0,0,0,0,0,0,2,8,1,0,6,0,6
TRUE,/data/pdfrate/contagio-mal/38e6fc796e32b0ae96823c241954358c22cdf583.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,3,0,15,12,2,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,1,0,2,12,0,0,0,0,1,1246969388,28800,2405.0,1,6,21,1,2,12,1,25889932,28800,0,0,0,0,0,0,0,0,0,11828.8,169944,50,14639.4166667,169753,20,0,1,1221079456,0,2355.0,0,0,32,1,18,0,14,0,0,32,1,19,0,13,TRUE,-1.0,-1.0,-1.0,0.00585835279552,0.00780550944033,0.00469343538085,0.501232448859,0.999971861898,0.0024930358198,-1.0,-1.0,-1.0,0.00565575846253,0.00565575846253,0.00565575846253,2,10,19,1,3,4,2,0.0,11846.3325436,177694.822305,14807.9154327,177695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/data/pdfrate/contagio-mal/-CVE-00_PDF_2011-01-13_InfoAccount.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,0,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7604.33333333,22288,10,0.0,0,0,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.999869092813,0.999869092813,0.999869092813,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1946,7343,22233,1,9272,5618,0,0.0,7638.99745367,22917000000.0,22917000000.0,22917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TRUE,/data/pdfrate/contagio-mal/CVE-2010-2883_PDF_2010-09-29_2011 calender.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,1,0,1,0,0,0,2,0,15,5,1,1,5,0,0,0,0,0,0,0,1,1,0,15,0,0,0,2,1,5,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34425.6,472318,19,103036.4,472281,73,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.00118780009363,0.0018571467262,0.000518453461064,0.999994196416,0.999994196416,0.999994196416,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,34461.4643692,516922000000.0,103384.379323,516922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
TRUE,/data/pdfrate/contagio-mal/CVE-2009-4324_PDF_2010-08-25_CMSI_Sixth_Annual_Conference_25_Aug_2010.pdf,0,0,0,1,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,10,0,48,25,5,7,0,0,1,0,1,0,0,0,0,0,0,48,8,0,3,0,5,25,0,1,1,0,2,1268183489,28800,2096.0,1,6,21,2,2,12,1,-9591435,0,0,405621,0,0,0,1,0,0,0,1825.0,54128,41,3258.4,53912,20,0,1,1277774924,28800,2112.0,0,0,32,2,21,0,11,0,0,32,2,15,0,17,TRUE,-1.0,-1.0,-1.0,0.5706586487,0.969504439267,0.0182734084755,0.624885082803,0.999968515837,0.00280838738115,0.0222467099049,0.0222467099049,0.0222467099049,0.541512919002,0.967338328821,0.0188653107487,2,10,19,2,3,4,2,2.55412757383,3308.54159774,52936.6490211,6352.3997459,158810,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
TRUE,/data/pdfrate/contagio-mal/CVE-2009-4324_PDF_2011-01-17_Rovos_rail_Pride_of_Africa.pdf,0,0,0,0,0,0,0,2,FALSE,0,0,0,1,0,0,0,2,0,0,11,4,2,3,0,0,0,0,0,0,0,1,0,1,0,11,0,0,1,0,2,4,0,2,2,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381098.454545,4161352,44,1047518.75,4161301,482,0,0,-1,-1,-1.0,0,12,32,1,20,0,0,0,12,32,1,20,0,0,FALSE,-1.0,-1.0,-1.0,5.29491356769e-05,5.55727414987e-05,5.03255298551e-05,0.500168507047,0.999998807452,0.000338206641396,-1.0,-1.0,-1.0,4.12621642888e-05,4.12621642888e-05,4.12621642888e-05,0,0,0,0,0,0,0,0.0,381154.783531,4192698.8073,1048175.48796,4192703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
TRUE,/data/pdfrate/contagio-mal/CVE-2009-4324_PDF_2010-07-28_TOP5.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,10,0,63,22,5,3,0,0,0,0,0,0,0,2,0,1,0,63,5,0,3,0,5,22,0,3,3,0,2,1268183489,28800,2446.0,1,6,21,3,2,12,1,-9590665,0,0,0,0,0,0,0,0,0,0,749.777777778,27935,8,1911.90909091,27869,20,0,1,1277774154,28800,2464.0,0,0,32,2,21,0,11,0,0,32,2,15,0,17,TRUE,-1.0,-1.0,-1.0,0.603450228773,0.927820915987,0.0495998330775,0.593320118634,0.99992548102,0.0102389078498,-1.0,-1.0,-1.0,0.622392456692,0.922694010164,0.051805594885,2,10,19,2,3,4,2,0.0,1065.03172913,22365.6592114,3049.86349773,67097,0,0,0,0,0,0,0,0,2,8,1,0,6,0,6
TRUE,/data/pdfrate/contagio-mal/483fc785510e6db9131a58722be643d5aa73c977.pdf,0,0,0,0,0,0,0,2,FALSE,0,1,0,1,0,0,0,2,1,0,40,12,1,3,0,0,0,0,0,0,0,3,0,2,0,40,0,0,1,0,1,12,0,1,1,0,1,1210145324,28800,2801.0,0,0,0,0,0,0,0,-29465083,0,0,0,0,0,0,0,0,0,0,11051.625,416412,13,36552.0833333,416229,18,0,2,1239610407,28800,2869.0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,TRUE,0.938683011865,0.938683011865,0.938683011865,0.938905696452,0.939261092054,0.938361356352,0.999988753304,0.999988753304,0.999988753304,-1.0,-1.0,-1.0,0.93933307091,0.93933307091,0.93933307091,0,0,0,0,0,0,0,0.0,11114.3747221,444574.555425,37047.9135793,444575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
TRUE,/data/pdfrate/contagio-mal/CVE-2010-1297_PDF_2010-07-06_water_update_part1.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,2,0,32,6,4,0,0,0,0,0,0,0,0,0,2,0,2,30,0,0,0,6,4,4,-2,4,4,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122.66666667,26854,57,15218.0,26782,3654,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.472625545852,0.937409652161,0.00784143954224,0.530483925614,0.999992471013,0.0609753802138,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,17709.332743,531280000000.0,132819.966795,531280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
