class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
FALSE,/data/pdfrate/contagio-ben/00-147.pdf,0,0,0,0,0,0,0,6,FALSE,0,0,0,0,0,0,0,6,2,0,23,4,1,8,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,0,1,8,4,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419.60869565,17862,43,7954.0,20394,1210,0,0,-1,-1,-1.0,0,0,32,1,32,0,0,0,0,32,1,32,0,0,FALSE,-1.0,-1.0,-1.0,0.206214815477,0.404789563042,0.0107824740119,0.999880856641,0.999880856641,0.999880856641,-1.0,-1.0,-1.0,0.189179797258,0.327435737051,0.00932296786108,0,0,0,0,0,0,0,0.0,1459.69558871,5595.49906742,4196.62447542,33573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FALSE,/data/pdfrate/contagio-ben/0072 ahu reports.pdf,0,7,12,1,0,2,3,12,FALSE,1,0,0,0,0,0,0,12,32,0,679,37,2,12,0,0,0,2,2,0,0,0,0,0,0,679,0,0,6,0,2,37,0,2,2,0,4,1251143582,-14400,2413.0,1,16,29,1,2,5,6,0,0,1,41840,0,0,0,0,0,0,0,173.284241532,9088,24,1272.24324324,8941,100,0,4,1251143582,-14400,2413.0,0,0,32,1,21,0,11,0,0,32,1,20,0,12,TRUE,-1.0,-1.0,-1.0,0.460769036811,0.769028384824,0.00872008042723,0.502695167949,0.99996434963,0.00542598626748,0.110877403132,0.181774104997,0.0598712308647,0.200403799854,0.301537956949,0.0111086551968,2,20,33,2,3,7,3,0.298322293602,206.555227973,23375.1627708,3790.56746512,140251,0,0,0,0,0,0,0,0,0,64,4,0,51,13,6
FALSE,/data/pdfrate/contagio-ben/019 FINAL Tech Spec.pdf,0,9,12,1,0,1,2,56,FALSE,1,0,0,0,0,0,0,56,84,0,416,57,2,39,0,0,0,0,0,0,0,0,0,0,0,416,16,0,28,0,2,57,0,2,2,0,1,1154381425,-25200,3340.0,1,16,29,1,2,5,6,-42,0,0,0,0,0,0,0,0,0,0,367.21875,7569,12,1912.38596491,7507,72,0,1,1154381467,-25200,3340.0,0,0,32,1,19,0,13,0,0,32,1,17,0,15,TRUE,-1.0,-1.0,-1.0,0.329147880598,0.600994409614,0.0190062999549,0.505098756735,0.999974658267,0.0102228552024,-1.0,-1.0,-1.0,0.314032224548,0.498162724338,0.0206028291511,1,20,31,2,2,6,3,0.0,474.286056552,7046.53546262,3461.45607962,197303,0,0,0,0,0,0,0,0,6,10,73,2,1,1,4
FALSE,/data/pdfrate/contagio-ben/020-13 plan.pdf,0,0,0,0,0,0,0,4,FALSE,0,0,0,1,0,0,0,4,2,0,81,14,2,4,0,0,0,0,0,0,0,0,0,0,0,81,0,0,2,0,2,14,0,2,2,0,0,-1,-1,-1.0,1,16,29,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,887.419753086,35919,9,4612.14285714,35848,135,0,0,-1,-1,-1.0,0,12,32,1,20,0,0,0,12,32,1,20,0,0,TRUE,-1.0,-1.0,-1.0,0.320251135453,0.899585893668,0.026756612343,0.506632380443,0.999946566925,0.0133181939621,-1.0,-1.0,-1.0,0.459791611007,0.896393267433,0.0231899545819,1,20,31,1,2,6,3,0.0,924.197519454,37429.981285,5347.1424752,74860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FALSE,/data/pdfrate/contagio-ben/02-108.pdf,0,6,6,1,0,0,0,12,FALSE,0,0,0,0,0,0,0,12,2,0,33,9,2,8,0,0,0,0,0,0,0,0,0,0,0,33,0,0,6,0,2,9,0,2,2,0,0,-1,-1,-1.0,2,14,24,1,3,4,3,-1080588298,17999,0,0,0,0,0,0,0,0,0,582.03030303,3394,12,1721.11111111,3339,116,0,1,1080588297,-18000,3126.0,0,17,32,1,15,0,0,0,11,32,1,21,0,0,TRUE,-1.0,-1.0,-1.0,0.304272714001,0.601294466884,0.0414132074554,0.511947053385,0.999756679157,0.024137427612,-1.0,-1.0,-1.0,0.334387723652,0.598471945107,0.0396126332182,2,20,33,1,3,7,3,0.0,622.696950827,3424.83276253,2283.22196853,20549,0,0,0,0,0,0,0,1,14,27,1,5,6,2,4
FALSE,/data/pdfrate/contagio-ben/0306.pdf,2,10,33,1,0,9,14,0,TRUE,0,0,0,0,0,0,0,0,5,0,4,4,1,10,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,0,1,4,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.76,1555,11,726.5,890,625,0,0,-1,-1,-1.0,0,14,32,1,18,0,0,0,14,32,1,18,0,0,FALSE,-1.0,-1.0,-1.0,0.543314651721,0.782492660795,0.337469975981,0.999466239658,0.999466239658,0.999466239658,-1.0,-1.0,-1.0,0.588904456899,0.776621297038,0.380170803309,3,46,79,1,12,14,7,0.0,299.75998801,1873.49953163,1873.49953163,7494,0,41,71,1,0,18,12,0,41,78,1,0,21,16,3
FALSE,/data/pdfrate/contagio-ben/035-22057-001-B-0609.pdf,0,6,6,1,0,0,0,8,FALSE,0,0,0,1,0,0,0,8,4,0,45,21,2,8,0,0,0,4,4,0,0,0,0,0,0,45,0,0,4,0,2,21,0,2,2,0,1,1245243794,0,3603.0,3,14,26,1,4,5,3,-181587,18000,0,30096,0,0,0,0,0,0,0,7490.64444444,40517,13,15782.047619,40467,200,0,1,1245425381,-18000,3603.0,0,0,32,1,19,0,13,0,0,32,1,19,0,13,TRUE,-1.0,-1.0,-1.0,0.641520391026,0.975605148745,0.00386067337464,0.501168827719,0.999985242074,0.0023524133636,0.981364281687,0.985646441421,0.977219665822,0.720622135118,0.972712595299,0.0046871172163,2,20,33,2,3,7,3,0.0888309066384,7528.9109438,84700.2288249,16133.3801841,338801,0,0,0,0,0,0,0,0,0,14,1,4,3,7,4
FALSE,/data/pdfrate/contagio-ben/035-22284-001-B-0609.pdf,0,6,6,1,0,0,0,4,FALSE,0,0,0,1,0,0,0,4,4,0,39,17,2,6,0,0,0,2,2,0,0,0,0,0,0,39,0,0,2,0,2,17,0,2,2,0,1,1244752532,0,3601.0,3,14,26,1,4,5,3,-407257,18000,0,15048,0,0,0,0,0,0,0,8339.56410256,39011,13,18845.3529412,38961,174,0,1,1245159789,-18000,3602.0,0,0,32,1,19,0,13,0,0,32,1,25,0,7,TRUE,-1.0,-1.0,-1.0,0.485465445432,0.97729616584,0.00392015252178,0.501211850428,0.999984698858,0.00243900199833,0.981244880493,0.984484642244,0.978967050521,0.482887203043,0.961000449854,0.00477395623261,2,20,33,2,3,7,3,0.0460503162746,8378.79465695,163386.418307,19221.9400458,326773,0,0,0,0,0,0,0,0,0,8,1,1,2,5,4
FALSE,/data/pdfrate/contagio-ben/0421.pdf,0,3,4,1,0,0,1,2,FALSE,0,0,0,0,0,0,0,2,6,0,37,15,2,8,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,2,15,0,2,2,0,0,-1,-1,-1.0,2,14,24,1,3,4,3,-1094592668,14399,0,0,0,0,0,0,0,0,0,1335.83783784,12005,12,2957.26666667,11942,119,0,1,1094592667,-14400,3167.0,0,13,32,1,19,0,0,0,8,32,1,24,0,0,TRUE,-1.0,-1.0,-1.0,0.494422340112,0.91781117988,0.0258768051872,0.508920326162,0.999901758522,0.017938893801,-1.0,-1.0,-1.0,0.0251694665488,0.0251694665488,0.0251694665488,2,20,33,1,3,7,3,0.0,1375.54050336,50894.9491051,3392.9997738,50895,0,0,0,0,0,0,0,1,14,25,1,4,5,2,4
FALSE,/data/pdfrate/contagio-ben/04_Gerrand.pdf,0,10,13,1,0,1,2,0,TRUE,0,0,0,0,0,0,0,0,5,0,64,14,1,16,0,0,0,0,0,0,0,0,0,0,0,64,0,0,8,0,1,14,0,1,1,0,0,-1,-1,-1.0,1,7,13,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1339.921875,15567,11,5644.78571429,15512,28,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.86673561703,0.978019230332,0.649648807765,0.999954538222,0.999954538222,0.999954538222,-1.0,-1.0,-1.0,0.96791819153,0.971256790853,0.964596640375,1,25,36,1,3,5,3,0.0,1374.78122852,10998.2486252,6284.71383681,87986,0,0,0,0,0,0,0,0,19,28,4,2,3,4,3
