class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
FALSE,/guest/data/pdf/google/000/43eb50f5087890d637d4d47c178f1bcc3b23f97539ab3a2499ef80165a3dc72f.pdf,0,1,8,1,0,7,0,0,TRUE,0,0,0,0,0,0,0,0,8,0,37,17,2,7,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,2,17,0,2,2,0,0,-1,-1,-1.0,0,2,24,1,2,19,1,0,0,0,0,0,0,0,0,0,0,0,2809.24324324,49734,12,5854.94117647,49670,123,0,1,-1,-1,-1.0,0,17,32,1,15,0,0,0,14,32,1,18,0,0,TRUE,-1.0,-1.0,-1.0,0.539850982698,0.955873425406,0.0138203824556,0.504377561087,0.999952572469,0.00880254970405,-1.0,-1.0,-1.0,0.0134694187282,0.0134694187282,0.0134694187282,0,1,29,1,2,24,2,0.0,2849.29722029,105423.894576,6201.41139992,105424,0,0,0,0,0,0,0,0,0,5,1,0,4,1,4
FALSE,/guest/data/pdf/google/000/64bb519073b56b85caf0fee72c6c16aff0a14eb45a8287c3fb994c29a7fdd771.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,34867000000.0,34867000000.0,34867000000.0,34867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,/guest/data/pdf/google/000/9267f05117224a5728eeef0321172c38d5a118353b1907a9a69149e0cb55949b.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,4,0,23,3,1,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,1,3,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.434782609,5811,18,3092.33333333,5747,775,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.309476300497,0.657004830918,0.0212840439684,0.999649933487,0.999649933487,0.999649933487,-1.0,-1.0,-1.0,0.446754883428,0.446754883428,0.446754883428,0,0,0,0,0,0,0,0.0,620.999973,14282.985717,4760.998413,14283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FALSE,/guest/data/pdf/google/000/def1861653ee6202bd811ca283ab4a0ed537a5f67615e868950986f5b0782f70.pdf,0,1,18,1,0,14,3,0,TRUE,0,0,0,0,0,0,0,0,8,0,46,22,1,9,0,0,0,1,1,0,0,0,0,0,0,46,0,0,2,0,1,22,0,1,1,0,0,-1,-1,-1.0,0,0,26,1,0,21,5,0,0,0,5041,0,4,36,1,1,27,4,2551.13043478,64269,13,5119.95454545,64204,31,0,1,-1,-1,-1.0,0,0,32,1,22,0,10,0,0,32,1,19,0,13,TRUE,-1.0,-1.0,-1.0,0.272805605172,0.93552039045,0.036738869741,0.999958070224,0.999958070224,0.999958070224,0.877757931017,0.877757931017,0.877757931017,0.0380219208869,0.0385837798854,0.0374600618883,0,1,34,1,0,28,5,0.0422736001744,2592.3260306,59623.4701883,5420.31793544,119247,0,0,0,0,0,0,0,0,3,32,1,2,19,8,6
FALSE,/guest/data/pdf/google/001/3f66b99cd29f02156e77e9a62862b41e9d7e875ee396eda069b471d4eb766601.pdf,0,0,1,1,0,1,0,5,FALSE,0,0,0,0,0,0,0,5,12,0,58,19,2,14,0,0,2,5,9,0,2,0,0,0,0,58,0,0,5,0,2,19,0,2,2,0,0,-1,-1,-1.0,0,16,56,1,4,33,3,-1343044502,-1,5,1070118,0,0,0,0,0,0,0,2416.48275862,42020,14,6870.31578947,41951,12,0,1,1343044501,0,3108.89930787,0,0,32,1,22,0,10,0,0,32,1,22,0,10,FALSE,-1.0,-1.0,-1.0,0.365294951859,0.984238756512,0.00249933304315,0.999333043149,0.999978938205,0.998687148093,0.233027703281,0.380537497016,0.00323649587891,0.271844592033,0.416918238111,0.00125668712001,0,16,56,1,4,33,3,7.51286875693,2455.82754387,28487.5943025,7496.73644754,142438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FALSE,/guest/data/pdf/google/001/8e4cc67de1615c8aba906a2c826429d3c81102b639f359ce17fd18fc51c2c9be.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,9,0,57,17,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,9,0,1,18,1,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14542.5614035,155336,7,48538.8823529,155248,43,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.568140984622,0.998092326579,0.187217986291,0.999995185682,0.999995185682,0.999995185682,-1.0,-1.0,-1.0,0.568084550119,0.998035758345,0.187162621637,0,0,8,1,6,0,2,0.0,14576.403253,92317.2119648,46158.6085467,830855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FALSE,/guest/data/pdf/google/002/211549fdf8737facb31ea352bc09187aa6597a07621900efc35826753ac0c574.pdf,0,9,12,1,0,1,2,11,FALSE,0,0,0,0,0,0,0,11,11,0,107,24,1,21,0,0,0,0,0,0,0,0,0,0,0,107,0,0,10,0,1,24,0,1,1,0,0,-1,-1,-1.0,0,11,14,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2887.39252336,36922,8,12400.625,36851,230,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.594894872449,0.990204013731,0.0508674662563,0.999987203153,0.999987203153,0.999987203153,-1.0,-1.0,-1.0,0.303615109237,0.559532531184,0.0506659159183,2,13,33,1,4,7,9,0.0,2921.28034653,31257.6968742,13024.041124,312577,0,0,0,1,0,0,0,0,11,21,1,4,3,3,3
FALSE,/guest/data/pdf/google/002/471d2c47470c4fbb994cc7debf04dd3fe2d4ff1fbb25f0796418a41cd126c2d2.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,38708000000.0,38708000000.0,38708000000.0,38708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,/guest/data/pdf/google/002/4c1ccfd3c3d15fc1dcbc0a21f9ee6a91c0da09ec3cab022e462ac155606dbf69.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,35311000000.0,35311000000.0,35311000000.0,35311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,/guest/data/pdf/google/002/68ba810b2a12112aa9f97c48ca63b104a50800fda37d3a37c84038193274d0db.pdf,0,6,7,1,0,0,1,2,FALSE,0,0,0,0,0,0,0,2,6,0,41,9,1,8,0,0,0,0,0,0,0,0,0,0,0,44,0,0,2,0,1,10,1,1,1,0,0,-1,-1,-1.0,3,14,26,1,4,5,3,-1342561225,-1,0,0,0,0,0,0,0,0,0,3093.20454545,63600,8,14635.0,63473,249,0,1,1342561224,0,3884.72576389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.751435581351,0.988515349189,0.0535078670948,0.999970943325,0.999970943325,0.999970943325,-1.0,-1.0,-1.0,0.054168906452,0.0549389083407,0.0533989045634,1,10,20,1,3,3,4,0.0,3128.68174708,68830.9655845,13766.1986234,137662,0,0,0,0,0,0,0,0,38,74,1,5,13,18,4
