class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0d8d7ebf5fc6a4306375d90b37b2a9c4eddd847f2963984d381eacb121ddd00e.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,1,0,0,0,0,3,0,11,2,1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,2,0,1,2,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196.0,12402,34,6198.0,12371,25,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.983488980202,0.983488980202,0.983488980202,0.322699539285,0.951214045573,0.00463205080314,0.999626447516,0.999626447516,0.999626447516,-1.0,-1.0,-1.0,0.00627568173328,0.0100859170713,0.00246544639522,0,0,0,0,0,0,0,0.0,1216.8180712,6692.49665375,6692.49665375,13385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0d9469889cc616d7a65ad6590889b12d46eee7de15d010fc59b22231ea8973e5.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,1,0,9,2,1,1,0,0,0,0,0,0,0,3,0,2,0,9,0,0,1,0,1,2,0,2,2,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9964.77777778,89097,33,8.0,8,8,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.00107825700311,0.00107825700311,0.00107825700311,0.00539128501556,0.00539128501556,0.00539128501556,0.999966651845,0.999966651845,0.999966651845,-1.0,-1.0,-1.0,0.00672521120498,0.00672521120498,0.00672521120498,0,0,0,0,0,0,0,0.0,9995.55444494,89959.9100401,44979.97751,89960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0da440a5c62cab16e8984b79ae3193b2d1cf54ecbcb3f494bcbbc966b328dc84.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,1,0,9,2,1,1,0,0,0,0,0,0,0,3,0,2,0,9,0,0,1,0,1,2,0,2,2,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332.44444444,11406,33,8.0,8,8,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.00790610481702,0.00790610481702,0.00790610481702,0.0395305240851,0.0395305240851,0.0395305240851,0.999755481294,0.999755481294,0.999755481294,-1.0,-1.0,-1.0,0.0493112723123,0.0493112723123,0.0493112723123,0,0,0,0,0,0,0,0.0,1363.22207075,12268.987731,6134.49693275,12269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0da80b2902d62eba03208b9fd5192e4965252ad79e3ba707d2c7ca6cc9d47b29.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,1,0,0,0,0,3,0,11,2,1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,2,0,1,2,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.0,12116,34,6055.0,12085,25,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.98312848309,0.98312848309,0.98312848309,0.322467363921,0.950148866326,0.00473318573937,0.999618291473,0.999618291473,0.999618291473,-1.0,-1.0,-1.0,0.00641270325979,0.0103061302389,0.00251927628063,0,0,0,0,0,0,0,0.0,1190.81807356,6549.49672525,6549.49672525,13099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0dd2b2fd6b52cf46bbdda9a8cbb18784cb7930dc183d07449e00f824c11b38f1.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,1,0,0,0,0,3,0,11,2,1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,2,0,1,2,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148.90909091,11900,34,5945.5,11866,25,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.982824279164,0.982824279164,0.982824279164,0.322271443745,0.94925001943,0.00481852801741,0.999611409031,0.999611409031,0.999611409031,-1.0,-1.0,-1.0,0.00652832828165,0.0104919561669,0.00256470039636,0,0,0,0,0,0,0,0.0,1169.72716639,6433.49678325,6433.49678325,12867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0df42200e866d85ab151b94050db3b76cdb609a7acc7b8fd9dea8ffc412d1bb3.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,1,0,9,2,1,1,0,0,0,0,0,0,0,3,0,2,0,9,0,0,1,0,1,2,0,2,2,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9928.44444444,88770,33,8.0,8,8,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.00108219071101,0.00108219071101,0.00108219071101,0.00541095355505,0.00541095355505,0.00541095355505,0.999966530184,0.999966530184,0.999966530184,-1.0,-1.0,-1.0,0.00674974618723,0.00674974618723,0.00674974618723,0,0,0,0,0,0,0,0.0,9959.22111564,89632.9103671,44816.4775918,89633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0df500a6ccab7601ef417a3962337aa1699465075f8e102394d115e76a51188f.pdf,0,0,0,0,0,0,0,1,FALSE,1,1,0,0,0,0,0,1,1,0,11,2,1,1,0,0,0,0,0,0,0,3,0,2,0,11,0,0,1,0,1,2,0,2,2,0,0,-1,-1,-1.0,0,3,3,1,0,0,0,-1219014708,25199,0,0,0,0,0,0,0,0,0,1459.72727273,15181,25,8.0,8,8,0,1,1219014707,-25200,2821.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.0147337531332,0.0147337531332,0.0147337531332,0.0402579935196,0.0431008131075,0.0374151739317,0.999816592285,0.999816592285,0.999816592285,-1.0,-1.0,-1.0,0.0539830042184,0.0539830042184,0.0539830042184,0,0,0,0,0,0,0,0.0,1486.99986482,16356.983643,8178.49591075,16357,0,0,0,0,0,0,0,0,2,2,1,0,0,0,5
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0e2986c8486f6e511fdb5d5189b3c9a6a43c00b69ffa546678b24e2f56da00b8.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,1,0,9,2,1,1,0,0,0,0,0,0,0,3,0,2,0,9,0,0,1,0,1,2,0,2,2,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12078.8888889,108124,33,8.0,8,8,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.000890014405388,0.000890014405388,0.000890014405388,0.00445007202694,0.00445007202694,0.00445007202694,0.999972473781,0.999972473781,0.999972473781,-1.0,-1.0,-1.0,0.00555112077587,0.00555112077587,0.00555112077587,0,0,0,0,0,0,0,0.0,12109.6653211,108986.891013,54493.4727533,108987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0e2ab8a5d60eb6741431494b94dcdcc1047120afeea418fbac7ffab0fa89e7fd.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,0,0,0,0,0,1,0,9,2,1,1,0,0,0,0,0,0,0,3,0,2,0,9,0,0,1,0,1,2,0,2,2,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9959.88888889,89053,33,8.0,8,8,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.00107878464344,0.00107878464344,0.00107878464344,0.00539392321722,0.00539392321722,0.00539392321722,0.999966635526,0.999966635526,0.999966635526,-1.0,-1.0,-1.0,0.00672850215757,0.00672850215757,0.00672850215757,0,0,0,0,0,0,0,0.0,9990.66555659,89915.9100841,44957.977521,89916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
TRUE,/home/nedim/mount/rastore3/rascratch/data-nedim/virustotal-data/2012/03/08/0e34816a65ed6d215d2cc8319346e5215c1e724ca2b940f5754a1b14d9153051.pdf,0,0,0,0,0,0,0,0,TRUE,0,1,0,1,0,0,0,0,3,0,11,2,1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,2,0,1,2,0,1,1,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.54545455,11979,34,5986.5,11948,25,0,0,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0.982950162012,0.982950162012,0.982950162012,0.322352517616,0.949621971918,0.00478321246721,0.999614257059,0.999614257059,0.999614257059,-1.0,-1.0,-1.0,0.00648048140719,0.0104150594044,0.00254590340997,0,0,0,0,0,0,0,0.0,1178.36352924,6480.9967595,6480.9967595,12962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
