class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
FALSE,/data/pdfrate/contagio-ben/00-147.pdf,0,0,0,0,0,0,0,6,FALSE,0,0,0,0,0,0,0,6,2,0,23,4,1,8,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,0,1,8,4,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419.60869565,17862,43,7954.0,20394,1210,0,0,0,0,0.0,0,0,32,0,32,0,0,0,0,32,0,32,0,0,FALSE,-1.0,-1.0,-1.0,0.206214815477,0.404789563042,0.0107824740119,0.999880856641,0.999880856641,0.999880856641,-1.0,-1.0,-1.0,0.189179797258,0.327435737051,0.00932296786108,0,0,0,0,0,0,0,0.0,1459.69558871,5595.49906742,4196.62447542,33573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FALSE,/data/pdfrate/contagio-ben/00-89.pdf,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,1,3,0,76,20,1,23,0,0,0,0,0,0,0,0,0,0,0,76,0,0,20,0,1,20,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.302631579,2138,10,1609.75,2076,862,0,0,0,0,0.0,0,0,32,0,23,0,9,0,0,32,0,23,0,9,FALSE,-1.0,-1.0,-1.0,0.299397236107,0.955442969262,0.0389252029946,0.999909528872,0.999909528872,0.999909528872,-1.0,-1.0,-1.0,0.516317598896,0.928980164205,0.00560920996087,0,0,0,0,0,0,0,0.0,581.749992345,2210.64988947,2210.64988947,44213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FALSE,/data/pdfrate/contagio-ben/0042001.pdf,0,0,0,0,0,0,0,40,FALSE,0,0,0,0,0,0,0,40,0,0,88,28,2,24,0,0,0,0,0,0,0,0,0,0,0,88,0,0,20,0,2,28,0,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.045454545,3519,9,1463.39285714,3464,226,0,0,0,0,0.0,0,18,64,0,46,0,0,0,18,64,0,46,0,0,FALSE,-1.0,-1.0,-1.0,0.717600393283,0.945884983902,0.0263923965221,0.508029534808,0.99992288562,0.0161361839949,-1.0,-1.0,-1.0,0.715935686607,0.94401496019,0.0240018507451,1,23,33,0,2,5,3,0.0,589.44317512,2593.54987032,1852.53564812,51871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FALSE,/data/pdfrate/contagio-ben/006_im_08-12_de.pdf,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,20,0,63,22,2,12,0,0,0,0,0,0,0,0,0,0,0,63,0,0,8,0,2,22,0,2,2,0,0,0,0,0.0,2,33,52,0,5,8,6,0,0,0,0,0,0,0,0,0,0,0,920.571428571,11172,9,2247.31818182,11099,223,0,0,0,0,0.0,0,28,64,0,36,0,0,0,20,64,0,44,0,0,TRUE,-1.0,-1.0,-1.0,0.566112021722,0.857149952814,0.0263414957201,0.508385900429,0.999933773738,0.0168380271197,-1.0,-1.0,-1.0,0.612801950363,0.807099455289,0.0242884815974,4,58,92,1,6,18,10,0.0,958.714270497,7549.87405627,2745.40896612,60399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FALSE,/data/pdfrate/contagio-ben/0072 ahu reports.pdf,0,28,48,0,0,8,12,12,FALSE,0,0,0,0,0,0,0,12,32,0,679,37,2,12,0,0,0,2,2,0,0,0,0,0,0,679,0,0,6,0,2,37,0,2,2,0,0,0,0,0.0,8,128,232,0,16,40,48,0,0,1,41840,0,0,0,0,0,0,0,173.284241532,9088,24,1272.24324324,8941,100,0,0,0,0,0.0,0,0,32,0,21,0,11,0,0,32,0,20,0,12,TRUE,-1.0,-1.0,-1.0,0.460769036811,0.769028384824,0.00872008042723,0.502695167949,0.99996434963,0.00542598626748,0.110877403132,0.181774104997,0.0598712308647,0.200403799854,0.301537956949,0.0111086551968,16,160,264,1,24,56,24,0.298322293602,206.555227973,23375.1627708,3790.56746512,140251,0,0,0,0,0,0,0,1,42,332,3,6,214,70,6
FALSE,/data/pdfrate/contagio-ben/01-152.pdf,0,0,0,0,0,0,0,21,FALSE,0,0,0,0,0,0,0,21,2,0,44,8,1,9,0,0,0,0,0,0,0,0,0,0,0,44,0,0,7,0,1,10,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035.5,16516,29,5084.25,26192,288,0,0,0,0,0.0,0,0,32,0,23,0,9,0,0,32,0,23,0,9,FALSE,-1.0,-1.0,-1.0,0.208049904392,0.594151575555,0.00195088850248,0.999915178761,0.999915178761,0.999915178761,-1.0,-1.0,-1.0,0.179375715679,0.33298697994,0.000890623012002,0,0,0,0,0,0,0,0.0,1071.77270291,6736.85618045,4715.79952842,47158,0,0,0,0,0,0,0,0,21,42,6,7,7,7,3
FALSE,/data/pdfrate/contagio-ben/01-AKP.pdf,0,8,8,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,1,7,0,37,9,1,8,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,1,9,0,1,1,0,0,0,0,0.0,2,22,32,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2102.97435897,14561,10,8499.0,14496,2904,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.454849959254,0.83618954029,0.139015387565,0.999952063659,0.999952063659,0.999952063659,-1.0,-1.0,-1.0,0.138835626288,0.138835626288,0.138835626288,0,4,8,0,0,0,4,0.0,2139.58968873,83443.9165561,9271.55452538,83444,0,0,0,0,0,0,0,1,14,28,0,3,6,5,3
FALSE,/data/pdfrate/contagio-ben/012096.pdf,0,8,13,0,0,2,3,48,FALSE,0,0,0,0,0,0,0,48,25,0,503,201,2,47,0,0,79,5,84,0,0,0,0,0,0,503,0,0,33,0,2,201,0,2,2,0,0,0,0,0.0,1,13,20,0,2,3,2,0,0,21,19541377,0,0,0,0,0,0,0,739.55666004,10100,7,1601.65671642,10012,52,0,0,0,0,0.0,0,26,64,0,38,0,0,0,26,64,0,38,0,0,FALSE,-1.0,-1.0,-1.0,0.612590846283,0.938151699594,0.00437659268631,0.500691717645,0.999989714236,0.00139372105522,0.346961603609,0.641515401646,0.0659266059292,0.579110033599,0.910709280588,0.00405516255365,1,20,34,0,3,5,6,50.2494992119,773.13518733,11784.4541883,1934.7611844,388887,0,0,0,0,0,0,0,0,6,7,0,0,0,1,2
FALSE,/data/pdfrate/contagio-ben/01275A.pdf,0,1,5,0,0,4,0,16,FALSE,0,0,0,1,0,0,0,16,16,0,504,22,2,16,0,0,2,0,2,0,0,0,0,0,0,504,0,0,8,0,2,22,0,2,2,0,0,0,0,0.0,0,1,12,0,0,11,0,0,0,1,332420,0,5,32,0,0,22,5,220.970238095,12882,13,3494.86363636,12745,98,0,0,0,0,0.0,0,0,32,0,17,0,15,0,0,32,0,24,0,8,TRUE,-1.0,-1.0,-1.0,0.240320429839,0.675156354789,0.0191680833476,0.505817489901,0.999961008781,0.0116739710217,0.438414669017,0.519916714756,0.277531699861,0.309089243102,0.621309481105,0.0204703900682,0,6,33,0,1,24,2,2.59229221579,254.432539178,16029.2479963,5828.81791687,128234,0,1,16,0,3,12,0,0,72,737,21,29,563,73,6
FALSE,/data/pdfrate/contagio-ben/0135d.pdf,0,8,8,0,0,0,0,6,FALSE,0,0,0,0,0,0,0,6,17,0,48,14,1,7,0,0,0,0,0,0,0,0,0,0,0,115,0,0,2,0,1,15,1,1,1,0,0,0,0,0.0,2,10,26,0,4,7,5,0,0,0,0,0,0,0,0,0,0,0,1320.92173913,38499,9,10077.7857143,38371,20,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,-1.0,-1.0,-1.0,0.368731550247,0.981926743925,0.111296587589,0.999974318641,0.999974318641,0.999974318641,-1.0,-1.0,-1.0,0.112105550384,0.113010818272,0.111200282495,1,10,20,0,3,3,4,0.0,1354.39129257,77877.4610613,10383.6659744,155755,0,0,0,0,0,0,0,1,4,14,0,4,2,4,4
